t,x_true,y_true,psi,v,a_cmd,omega_cmd,x_meas,y_meas
50.2,1.3180339003287778,1.1613229561832683,-51.256802605509336,5.0,0.0,-2.855993321357822,1.2563775232255812,1.322216226982583
50.300000000000004,1.591826752674803,0.7429481553118156,-51.54240193773161,5.0,0.0,-2.85599332222278,1.1431108084708272,1.604843068062493
50.400000000000006,1.7366592683219393,0.2643841131906779,-51.828001270016856,5.0,0.0,-2.8559933228524343,2.3616165747388322,0.5804795089495749
50.5,1.7407979781667642,-0.23559875759673254,-52.11360060234044,5.0,0.0,-2.8559933232358716,2.223037417081665,-0.6678768354297596
50.6,1.6039075885327392,-0.7164948183269539,-52.39919993467906,5.0,0.0,-2.85599332338618,0.7907755243257854,-1.4317382151053775
50.7,1.3370781446769722,-1.1393447301060888,-52.68479926701252,5.0,0.0,-2.8559933233346513,1.7505069913445455,-1.556104043973932
50.800000000000004,0.9619265812757392,-1.4698917078227376,-52.97039859932499,5.0,0.0,-2.8559933231246433,1.7936752264631717,-1.4730191481259673
50.900000000000006,0.5088454469279309,-1.6813568011551911,-53.25599793160551,5.0,0.0,-2.8559933228052685,1.2069596318971145,-2.2828936781976834
51.0,0.014540680606424772,-1.7566083658687657,-53.54159726384811,5.0,0.0,-2.855993322425981,-1.1776596900948948,-1.7675357777939351
51.1,-0.48094208522971355,-1.6895499677416814,-53.82719659605132,5.0,0.0,-2.8559933220321128,-1.1048234296848878,-1.2882352487429087
51.2,-0.9374617836225636,-1.4856142794002307,-54.11279592821747,5.0,0.0,-2.8559933216614937,-0.44448790303656766,-2.4057052333134434
51.300000000000004,-1.3180339036324467,-1.1613229574824477,-54.39839526035175,5.0,0.0,-2.855993321342744,-1.2318864064247108,-1.1939758793416295
51.400000000000006,-1.5918267554544074,-0.7429481562680368,-54.683994592461175,5.0,0.0,-2.8559933210942816,-1.5271227239495906,-0.3967698636825548
51.5,-1.7366592705560904,-0.2643841139818232,-54.96959392455366,5.0,0.0,-2.855993320924803,-1.5620078128181552,-0.6495735757321646
51.6,-1.7407979799274278,0.2355987568095066,-55.25519325663708,5.0,0.0,-2.855993320834223,-2.208274622525892,0.8913747154183634
51.7,-1.603907589953484,0.716494817442968,-55.540792588718624,5.0,0.0,-2.8559933208154646,-1.718925465159695,0.8252774349297153
51.800000000000004,-1.3370781459075318,1.1393447291020908,-55.82639192080427,5.0,0.0,-2.8559933208564203,-1.2909352635915234,1.1103643671137584
51.900000000000006,-0.9619265824395435,1.4698917067429762,-56.11199125289847,5.0,0.0,-2.8559933209420265,-0.8449797715853123,0.7244941874036658
52.0,-0.5088454480951843,1.6813568000828196,-56.397590585004075,5.0,0.0,-2.855993321056026,-0.875854653119196,1.2285462204652338
52.1,-0.014540681788068721,1.756608364890921,-56.68318991712236,5.0,0.0,-2.8559933211828437,0.04513806426307114,1.913043313291288
52.2,0.4809420840692293,1.6895499669201821,-56.968789249253234,5.0,0.0,-2.855993321308695,0.34486811472659645,1.687531421799243
52.300000000000004,0.9374617825411822,1.4856142787558073,-57.25438858139549,5.0,0.0,-2.8559933214225808,0.5674052414636097,1.4859811472549953
52.400000000000006,1.318033902684601,1.1613229569947352,-57.53998791354715,5.0,0.0,-2.855993321516628,2.4569853493884644,1.2101485692271072
52.5,1.591826754671565,0.7429481558883055,-57.825587245705776,5.0,0.0,-2.85599332158629,0.9636739884736727,1.5036057675126497
52.6,1.7366592699384447,0.2643841136520871,-58.11118657786878,5.0,0.0,-2.8559933216300024,1.578875988711121,0.8142933519529683
52.7,1.740797979447113,-0.23559875713810602,-58.396785910033664,5.0,0.0,-2.855993321648846,0.7630894446977853,-0.6031103912343831
52.800000000000004,1.603907589566082,-0.7164948177980155,-58.68238524219826,5.0,0.0,-2.855993321645961,1.4950357589062846,-0.7651485547212533
52.900000000000006,1.3370781455667105,-1.1393447294865322,-58.96798457436083,5.0,0.0,-2.855993321625725,1.5817463714730287,-0.6946068275540396
53.0,0.9619265821097083,-1.469891707139886,-59.253583906520156,5.0,0.0,-2.8559933215932958,0.6730880780798361,-1.7077904086703304
53.1,0.5088454477586049,-1.6813568004652797,-59.53918323867555,5.0,0.0,-2.8559933215539033,0.34123666367209415,-1.9617279893661212
53.2,0.014540681445342651,-1.756608365233006,-59.824782570826784,5.0,0.0,-2.855993321512379,0.43077074043583385,-1.7881620171574784
53.300000000000004,-0.48094208440426855,-1.6895499672054708,-60.11038190297407,5.0,0.0,-2.8559933214728446,-0.7560286360235724,-1.7120082451657033
53.400000000000006,-0.9374617828494974,-1.4856142789812727,-60.395981235117915,5.0,0.0,-2.8559933214384543,-2.2718973301366003,-1.3899477696872446
53.5,-1.3180339029499044,-1.1613229571697241,-60.68158056725904,5.0,0.0,-2.8559933214112263,-1.379503798730814,-1.0798534405890599
53.6,-1.5918267548857863,-0.7429481560298655,-60.96717989939827,5.0,0.0,-2.8559933213922974,-1.320431511468413,-1.4495588007926528
53.7,-1.7366592701035184,-0.264384113778773,-61.25277923153644,5.0,0.0,-2.855993321381696,-2.365079467563816,-0.1655044391323392
53.800000000000004,-1.7407979795732555,0.23559875701174232,-61.53837856367432,5.0,0.0,-2.8559933213788256,-2.407253786049835,-0.27116113588091545
53.900000000000006,-1.6039075896677641,0.716494817664689,-61.82397789581256,5.0,0.0,-2.8559933213824067,-1.2310969865644856,0.7307996404842333
54.0,-1.3370781456580285,1.1393447293466656,-62.109577227951654,5.0,0.0,-2.855993321390905,-0.9544086491623821,1.4243011240974817
54.1,-0.9619265822006846,1.4698917069996318,-62.39517656009191,5.0,0.0,-2.855993321402586,-0.7018788228478643,1.91982402645626
54.2,-0.5088454478533955,1.6813568003331978,-62.6807758922335,5.0,0.0,-2.855993321415859,-0.48153061854094537,2.23519222453636
54.300000000000004,-0.014540681542529577,1.7566083651166644,-62.96637522437642,5.0,0.0,-2.8559933214292172,0.14105516862659503,2.2509883580192502
54.400000000000006,0.4809420843097745,1.689549967109026,-63.251974556520565,5.0,0.0,-2.85599332144141,0.6795201972555585,1.2029340133959958
54.5,0.9374617827638332,1.4856142789045939,-63.537573888665726,5.0,0.0,-2.8559933214516136,0.00247055515293626,1.0827129101842523
54.6,1.3180339028778547,1.1613229571090227,-63.823173220811654,5.0,0.0,-2.855993321459316,1.5638217390893636,2.3003814012755956
54.7,1.5918267548292915,0.7429481559793435,-64.10877255295809,5.0,0.0,-2.8559933214642896,2.1314883421044897,0.10281721111556552
54.800000000000004,1.736659270061368,0.26438411373259224,-64.39437188510475,5.0,0.0,-2.8559933214665634,2.3297891992334665,0.32227130023176953
54.900000000000006,1.7407979795418467,-0.23559875705783417,-64.6799712172514,5.0,0.0,-2.855993321466535,1.9159055608167959,-1.1344397544101308
55.0,1.6039075896424666,-0.7164948177125204,-64.96557054939787,5.0,0.0,-2.8559933214646165,1.071721788202357,-0.6881680993216881
55.1,1.3370781456346286,-1.1393447293956944,-65.251169881544,5.0,0.0,-2.8559933214613196,1.4546835906497972,-1.0193907962159012
55.2,0.9619265821764402,-1.4698917070477022,-65.53676921368972,5.0,0.0,-2.8559933214572553,0.09300516920028257,-1.5479711936237082
55.300000000000004,0.5088454478274556,-1.6813568003776351,-65.822368545835,5.0,0.0,-2.8559933214528783,0.6035945687763845,-1.6736281587824258
55.400000000000006,0.014540681515708254,-1.756608365155312,-66.10796787797987,5.0,0.0,-2.8559933214487003,-0.5391115302338954,-1.5871273423093253
55.5,-0.48094208433567975,-1.689549967140905,-66.39356721012437,5.0,0.0,-2.8559933214450055,-0.5908521194037945,-2.2493638734083676
55.6,-0.9374617827868803,-1.4856142789300748,-66.67916654226858,5.0,0.0,-2.8559933214420212,-1.0806733259418235,-1.323519331643567
55.7,-1.3180339028966679,-1.1613229571295347,-66.96476587441256,5.0,0.0,-2.8559933214398896,-2.0999778782172016,-2.07889573226979
55.800000000000004,-1.591826754843454,-0.7429481559968119,-67.25036520655642,5.0,0.0,-2.8559933214386675,-1.4685809920709176,-1.341211370415882
55.900000000000006,-1.7366592700714416,-0.2643841137488231,-67.53596453870026,5.0,0.0,-2.8559933214382696,-2.0894413240985745,-0.6085597667377729
56.0,-1.740797979549062,0.23559875704162697,-67.82156387084412,5.0,0.0,-2.855993321438554,-1.5309830079676292,-0.39991496461846293
56.1,-1.6039075896482793,0.716494817695914,-68.10716320298805,5.0,0.0,-2.855993321439378,-1.9556146639042404,0.30233614400852865
56.2,-1.3370781456402774,1.1393447293789847,-68.3927625351321,5.0,0.0,-2.8559933214406,-1.7474217082663916,1.0248745240256665
56.300000000000004,-0.961926582182647,1.4698917070316257,-68.67836186727631,5.0,0.0,-2.8559933214419644,0.4537263671557705,1.4261427932359394
56.400000000000006,-0.5088454478343407,1.6813568003630124,-68.96396119942065,5.0,0.0,-2.8559933214433855,-0.8955010255742382,1.1509170439942094
56.5,-0.01454068152290533,1.7566083651427387,-69.24956053156512,5.0,0.0,-2.8559933214446644,-0.17831187476123816,2.2827286729604426
56.6,0.4809420843287875,1.6895499671305834,-69.5351598637097,5.0,0.0,-2.855993321445773,-0.17466287167933425,0.7991218596119863
56.7,0.9374617827809002,1.485614278921795,-69.82075919585435,5.0,0.0,-2.8559933214466255,1.6279139330917618,2.8871560613180365
